trade_id,client_id,instrument_id,ticker,trade_date,price,rolling_mean_20t,rolling_stddev_20t,z_score,is_anomaly
11934,13,39,PIOIN4,2025-01-15,89.6309,100.1538,2.6815,-3.924,1
4052,14,22,ANCIN3,2024-09-13,199.3163,205.1427,1.4869,-3.918,1
37841,11,37,SILPL1,2026-04-24,16.0341,15.299,0.1879,3.912,1
8395,7,34,NORIN2,2024-10-30,30.9688,27.4354,0.9036,3.911,1
25392,12,32,DELIN7,2025-09-15,75.0179,84.3199,2.3793,-3.91,1
5690,9,38,NORSA2,2024-09-20,360.1011,327.1312,8.4365,3.908,1
25663,8,7,QUACA3,2025-09-16,641.543,611.2532,7.7765,3.895,1
25408,23,34,NORIN2,2025-09-15,28.6737,27.7876,0.2278,3.89,1
4055,21,19,ORBTE0,2024-09-13,56.2165,54.6403,0.406,3.882,1
37368,7,16,BLUSA5,2026-04-16,51.9591,53.307,0.3474,-3.88,1
17195,12,7,QUACA3,2025-03-19,540.8103,505.0551,9.2315,3.873,1
39254,8,1,AURHO3,2026-05-15,30.7562,38.8727,2.0985,-3.868,1
13585,9,18,MERGR5,2025-01-28,436.9622,448.0227,2.8618,-3.865,1
13368,18,24,CYBMA0,2025-01-27,88.9012,85.4046,0.9083,3.85,1
33481,4,33,RIDPL0,2026-02-09,32.1847,26.582,1.4571,3.845,1
16341,14,4,AMBPL4,2025-03-04,84.9654,83.5105,0.3785,3.844,1
22788,6,25,FALTE3,2025-07-14,59.9659,63.8799,1.0183,-3.843,1
15985,9,20,ATLPA1,2025-02-28,77.1484,73.9195,0.8427,3.832,1
7799,10,11,ORBAG4,2024-10-25,28.1072,29.986,0.4903,-3.832,1
7077,21,4,AMBPL4,2024-10-18,83.7746,81.0783,0.7067,3.815,1
24693,20,6,CYBIN4,2025-09-10,367.5937,388.9047,5.6136,-3.796,1
9508,20,24,CYBMA0,2024-11-22,79.2622,70.4936,2.3117,3.793,1
22699,18,33,RIDPL0,2025-07-11,37.0175,43.5086,1.7144,-3.786,1
21828,9,32,DELIN7,2025-07-01,79.445,63.5527,4.1984,3.785,1
25395,7,19,ORBTE0,2025-09-15,53.432,47.4087,1.5913,3.785,1
37337,18,1,AURHO3,2026-04-16,31.2204,28.9821,0.5929,3.775,1
4095,10,15,SILIN4,2024-09-13,316.3354,311.4229,1.3032,3.77,1
39835,9,13,AMBPA6,2026-06-01,130.2018,125.1008,1.3564,3.761,1
12812,2,23,SILIN3,2025-01-23,94.9786,93.1403,0.4895,3.756,1
5853,19,2,QUACO1,2024-09-25,85.2981,87.9346,0.7043,-3.743,1
8412,2,21,VERCA7,2024-10-31,373.9202,362.5691,3.0327,3.743,1
37680,4,23,SILIN3,2026-04-21,176.6781,164.5259,3.2546,3.734,1
13877,22,9,CYBPA2,2025-01-29,275.8743,271.5984,1.1464,3.73,1
39106,9,3,BLUAG3,2026-05-13,183.9884,172.3873,3.1119,3.728,1
16365,4,33,RIDPL0,2025-03-04,28.5154,30.2417,0.4634,-3.726,1
15720,4,18,MERGR5,2025-02-27,398.6205,414.5188,4.2681,-3.725,1
15799,9,37,SILPL1,2025-02-27,17.8097,17.2988,0.1373,3.722,1
8300,11,34,NORIN2,2024-10-29,28.7791,27.2203,0.4188,3.722,1
5240,19,36,ANCSA3,2024-09-17,196.1967,199.2407,0.8191,-3.716,1
35871,7,9,CYBPA2,2026-04-01,273.138,290.5234,4.6834,-3.712,1
14293,9,33,RIDPL0,2025-02-03,33.2471,30.8971,0.6332,3.711,1
5007,18,38,NORSA2,2024-09-16,327.8482,322.6668,1.3964,3.711,1
37787,13,11,ORBAG4,2026-04-23,18.6587,19.3503,0.1864,-3.71,1
12092,8,5,WAVPL9,2025-01-17,120.6261,115.4222,1.4028,3.71,1
12347,9,28,BLUTE2,2025-01-21,166.9995,162.4182,1.2398,3.695,1
32057,11,23,SILIN3,2026-01-14,157.0937,151.7942,1.4355,3.692,1
13092,19,4,AMBPL4,2025-01-24,85.0622,88.0032,0.7981,-3.685,1
16749,8,34,NORIN2,2025-03-10,33.3033,35.6157,0.6277,-3.684,1
37718,23,19,ORBTE0,2026-04-22,82.2658,88.8635,1.7957,-3.674,1
14167,23,16,BLUSA5,2025-01-30,54.999,53.7982,0.327,3.673,1
23677,7,15,SILIN4,2025-08-14,294.6125,333.9149,10.7062,-3.671,1
16393,18,39,PIOIN4,2025-03-04,64.9668,61.0365,1.0743,3.659,1
5238,13,39,PIOIN4,2024-09-17,181.8299,179.0475,0.7606,3.658,1
41249,20,1,AURHO3,2026-07-10,30.8569,35.1712,1.1794,-3.658,1
26636,17,3,BLUAG3,2025-09-23,162.7167,172.3526,2.6366,-3.655,1
40357,18,27,CEDCA1,2026-06-15,90.6457,92.5572,0.5232,-3.654,1
5502,9,15,SILIN4,2024-09-18,328.478,318.3085,2.7875,3.648,1
15069,9,20,ATLPA1,2025-02-18,73.1907,71.6164,0.4316,3.647,1
5033,8,20,ATLPA1,2024-09-16,63.2888,62.0609,0.3371,3.643,1
25427,10,5,WAVPL9,2025-09-15,78.1507,75.7925,0.6484,3.637,1
10828,13,17,AURIN2,2024-12-25,107.7806,105.0682,0.7459,3.637,1
35539,12,6,CYBIN4,2026-03-24,347.854,370.3872,6.1964,-3.637,1
13141,10,3,BLUAG3,2025-01-24,183.4173,196.2933,3.5479,-3.629,1
34565,10,10,HARIN3,2026-03-03,168.1577,184.0085,4.3714,-3.626,1
5254,9,34,NORIN2,2024-09-17,29.4256,33.4022,1.0975,-3.623,1
30044,10,3,BLUAG3,2025-12-01,145.7726,133.3614,3.4281,3.62,1
2000,10,11,ORBAG4,2024-09-11,34.3609,36.669,0.6383,-3.616,1
8792,1,4,AMBPL4,2024-11-07,90.1973,85.6703,1.2531,3.613,1
8543,12,11,ORBAG4,2024-11-04,25.4376,28.0771,0.7313,-3.61,1
22077,23,11,ORBAG4,2025-07-03,30.613,34.7875,1.1568,-3.609,1
31827,3,9,CYBPA2,2026-01-09,272.4073,288.5714,4.4955,-3.596,1
6202,7,10,HARIN3,2024-10-02,272.2205,304.2083,8.9053,-3.592,1
4993,11,22,ANCIN3,2024-09-16,195.4584,199.9104,1.2404,-3.589,1
16895,6,11,ORBAG4,2025-03-12,38.9367,33.1414,1.6148,3.589,1
26629,18,26,MERIN1,2025-09-23,949.2525,798.7387,41.9551,3.587,1
20625,17,13,AMBPA6,2025-06-10,154.541,167.6765,3.6631,-3.586,1
39135,2,1,AURHO3,2026-05-13,35.837,39.3194,0.9714,-3.585,1
8342,8,19,ORBTE0,2024-10-30,65.9305,61.4505,1.253,3.575,1
17553,9,2,QUACO1,2025-03-26,90.967,96.241,1.4756,-3.574,1
17429,16,40,ZENCA1,2025-03-24,324.9648,296.4791,7.9759,3.571,1
20004,24,20,ATLPA1,2025-05-23,77.5644,81.1897,1.0156,-3.57,1
5749,13,29,WAVIN1,2024-09-23,88.2301,86.683,0.4341,3.564,1
8682,24,35,REDHO9,2024-11-06,184.6297,192.0525,2.0836,-3.562,1
5034,24,32,DELIN7,2024-09-16,45.0451,49.2863,1.1906,-3.562,1
4994,24,21,VERCA7,2024-09-16,352.0512,359.0327,1.9601,-3.562,1
18688,15,8,SILCA5,2025-04-22,73.2604,70.8915,0.6652,3.561,1
8432,18,19,ORBTE0,2024-10-31,74.1184,63.0559,3.1063,3.561,1
27713,13,6,CYBIN4,2025-10-14,407.8414,390.5369,4.8655,3.557,1
25918,8,33,RIDPL0,2025-09-17,37.9551,36.436,0.4273,3.555,1
34889,4,4,AMBPL4,2026-03-10,94.885,89.9215,1.3981,3.55,1
5048,10,14,WAVIN2,2024-09-16,234.1174,231.1023,0.8506,3.545,1
11952,13,33,RIDPL0,2025-01-15,33.9961,34.995,0.2823,-3.538,1
16381,18,26,MERIN1,2025-03-04,370.0108,382.0043,3.3902,-3.538,1
7154,22,6,CYBIN4,2024-10-21,340.8742,304.7203,10.228,3.535,1
4085,22,1,AURHO3,2024-09-13,58.4573,57.5638,0.2529,3.533,1
22487,8,26,MERIN1,2025-07-09,382.1677,411.4442,8.2924,-3.531,1
38082,4,3,BLUAG3,2026-04-30,156.9721,193.1218,10.2401,-3.53,1
8706,8,6,CYBIN4,2024-11-06,370.959,346.8791,6.8249,3.528,1
4991,17,40,ZENCA1,2024-09-16,290.3331,294.3161,1.1298,-3.526,1
37797,24,10,HARIN3,2026-04-23,156.9878,133.3036,6.7202,3.524,1
5014,18,5,WAVPL9,2024-09-16,115.9053,114.2528,0.4689,3.524,1
34431,13,1,AURHO3,2026-02-27,41.1615,46.2124,1.4342,-3.522,1
25171,9,36,ANCSA3,2025-09-12,95.5706,98.948,0.9591,-3.521,1
5278,2,10,HARIN3,2024-09-17,311.0293,316.8841,1.6642,-3.518,1
4053,22,40,ZENCA1,2024-09-13,293.6112,298.697,1.4469,-3.515,1
11841,1,26,MERIN1,2025-01-14,365.9922,352.4368,3.8618,3.51,1
31501,5,6,CYBIN4,2026-01-05,630.4701,539.1314,26.0281,3.509,1
36084,8,19,ORBTE0,2026-04-06,85.1948,66.4334,5.3471,3.509,1
19689,22,10,HARIN3,2025-05-16,346.7404,301.8089,12.8066,3.508,1
19781,13,24,CYBMA0,2025-05-20,128.2825,120.1254,2.3289,3.503,1
5228,4,13,AMBPA6,2024-09-17,140.836,136.9311,1.1164,3.498,1
37719,23,33,RIDPL0,2026-04-22,27.0512,28.2359,0.3388,-3.497,1
16778,7,5,WAVPL9,2025-03-10,83.0926,95.9013,3.6633,-3.496,1
25664,18,35,REDHO9,2025-09-16,228.7123,215.7035,3.7214,3.496,1
31877,1,34,NORIN2,2026-01-09,26.0361,24.7372,0.3717,3.495,1
40054,2,21,VERCA7,2026-06-05,311.7981,301.0607,3.0726,3.495,1
31954,18,3,BLUAG3,2026-01-13,108.1631,115.761,2.1765,-3.491,1
21083,22,8,SILCA5,2025-06-23,73.4412,72.1711,0.3641,3.489,1
11775,16,23,SILIN3,2025-01-13,93.9625,100.5602,1.8915,-3.488,1
17987,24,1,AURHO3,2025-04-04,39.0932,40.8438,0.502,-3.487,1
6714,22,21,VERCA7,2024-10-11,363.0859,348.4503,4.1985,3.486,1
13843,7,3,BLUAG3,2025-01-29,192.9568,186.2677,1.9194,3.485,1
30270,20,40,ZENCA1,2025-12-05,198.4785,182.3906,4.6214,3.481,1
5680,4,33,RIDPL0,2024-09-20,29.0546,30.3705,0.3781,-3.481,1
34296,7,2,QUACO1,2026-02-25,111.3731,107.2805,1.1787,3.472,1
38758,9,15,SILIN4,2026-05-11,395.9837,384.9691,3.1756,3.468,1
5820,22,19,ORBTE0,2024-09-24,65.5147,55.0035,3.0313,3.468,1
41309,10,16,BLUSA5,2026-07-14,63.55,56.4237,2.0558,3.467,1
14304,12,6,CYBIN4,2025-02-03,486.793,473.2126,3.9194,3.465,1
7035,25,36,ANCSA3,2024-10-17,204.1508,198.8809,1.522,3.462,1
36905,25,19,ORBTE0,2026-04-14,90.3595,101.4537,3.2074,-3.459,1
23045,22,34,NORIN2,2025-07-22,28.6107,26.2342,0.6896,3.446,1
16629,7,15,SILIN4,2025-03-06,353.545,345.1301,2.4433,3.444,1
38925,7,16,BLUSA5,2026-05-12,51.0775,52.1085,0.2996,-3.441,1
14476,22,15,SILIN4,2025-02-05,348.9257,337.3655,3.3627,3.438,1
9884,7,11,ORBAG4,2024-12-02,31.7516,27.0482,1.3702,3.433,1
7087,9,6,CYBIN4,2024-10-18,324.1068,302.3287,6.3526,3.428,1
33549,10,29,WAVIN1,2026-02-10,90.2274,89.3242,0.2635,3.427,1
1970,13,15,SILIN4,2024-09-11,311.3325,305.6137,1.669,3.426,1
40611,14,19,ORBTE0,2026-06-19,128.9135,116.0356,3.759,3.426,1
27395,4,13,AMBPA6,2025-10-08,180.8145,176.0541,1.3902,3.424,1
39222,2,33,RIDPL0,2026-05-15,26.7867,27.8866,0.3213,-3.424,1
32009,18,14,WAVIN2,2026-01-13,610.6158,587.7704,6.6817,3.419,1
8343,23,9,CYBPA2,2024-10-30,241.5246,248.436,2.0258,-3.412,1
7157,10,26,MERIN1,2024-10-21,214.1681,220.062,1.7277,-3.411,1
14662,9,6,CYBIN4,2025-02-10,503.3701,477.6743,7.5364,3.41,1
37662,10,14,WAVIN2,2026-04-21,419.3279,431.9439,3.7028,-3.407,1
8333,9,28,BLUTE2,2024-10-30,154.302,158.9937,1.3772,-3.407,1
39163,18,3,BLUAG3,2026-05-14,202.3143,176.3074,7.6381,3.405,1
8711,19,27,CEDCA1,2024-11-06,85.6054,87.8827,0.6689,-3.404,1
9387,9,40,ZENCA1,2024-11-20,300.7652,286.4983,4.1962,3.4,1
10573,22,27,CEDCA1,2024-12-18,92.5952,88.2428,1.2807,3.398,1
5127,4,23,SILIN3,2024-09-16,91.7504,90.4215,0.3913,3.396,1
31911,8,9,CYBPA2,2026-01-12,263.2676,287.1151,7.0265,-3.394,1
41077,18,11,ORBAG4,2026-07-03,25.2956,22.737,0.7551,3.388,1
26556,24,28,BLUTE2,2025-09-22,151.1918,157.8618,1.9686,-3.388,1
10321,4,13,AMBPA6,2024-12-12,138.4694,142.4697,1.181,-3.387,1
5186,20,18,MERGR5,2024-09-16,316.1667,311.5996,1.3488,3.386,1
31956,17,23,SILIN3,2026-01-13,154.1402,151.5375,0.7693,3.383,1
5519,11,2,QUACO1,2024-09-18,88.8923,87.9569,0.2765,3.383,1
16340,8,1,AURHO3,2025-03-04,41.5745,42.139,0.1669,-3.382,1
26928,4,8,SILCA5,2025-09-29,69.9603,72.4603,0.7397,-3.38,1
6124,24,30,WAVHO2,2024-10-01,97.4014,95.0717,0.6893,3.38,1
19935,6,23,SILIN3,2025-05-22,115.2845,118.719,1.0168,-3.378,1
26959,11,27,CEDCA1,2025-09-30,91.8018,93.8309,0.6007,-3.378,1
38072,9,12,IROAG7,2026-04-30,62.0246,64.0183,0.5903,-3.377,1
17533,4,13,AMBPA6,2025-03-26,150.7755,145.7801,1.4793,3.377,1
8558,8,39,PIOIN4,2024-11-04,120.059,114.5352,1.6362,3.376,1
9888,24,9,CYBPA2,2024-12-02,264.7585,250.5825,4.1996,3.376,1
3006,7,35,REDHO9,2024-09-12,186.8294,184.2697,0.7583,3.375,1
10396,9,16,BLUSA5,2024-12-13,53.4126,51.2987,0.6264,3.375,1
16825,22,25,FALTE3,2025-03-11,48.2405,45.0431,0.9475,3.374,1
17289,9,40,ZENCA1,2025-03-20,304.3106,293.9265,3.0803,3.371,1
34512,17,1,AURHO3,2026-03-02,38.2097,45.8257,2.2597,-3.37,1
40370,18,38,NORSA2,2026-06-15,246.8427,231.2792,4.6181,3.37,1
1483,7,7,QUACA3,2024-09-09,347.629,307.2624,11.9788,3.37,1
17755,8,14,WAVIN2,2025-04-01,330.5218,316.0236,4.3033,3.369,1
30436,18,12,IROAG7,2025-12-10,66.5372,65.2279,0.3886,3.369,1
37865,5,36,ANCSA3,2026-04-24,88.0874,90.9281,0.8435,-3.368,1
23878,10,1,AURHO3,2025-08-22,41.1493,37.8897,0.9682,3.367,1
8926,6,36,ANCSA3,2024-11-11,200.1796,206.8241,1.9744,-3.365,1
33268,9,38,NORSA2,2026-02-04,257.1971,290.0935,9.7808,-3.363,1
29375,19,28,BLUTE2,2025-11-17,145.02,149.9262,1.4591,-3.362,1
23339,9,36,ANCSA3,2025-07-31,91.9388,100.0016,2.3985,-3.362,1
9763,10,10,HARIN3,2024-11-28,216.4452,242.2229,7.6687,-3.361,1
8816,4,23,SILIN3,2024-11-08,104.3319,97.2241,2.1155,3.36,1
39616,18,37,SILPL1,2026-05-26,17.1266,16.2854,0.2504,3.36,1
5237,24,23,SILIN3,2024-09-17,93.4564,90.7134,0.8168,3.358,1
15958,22,8,SILCA5,2025-02-28,73.8591,74.9466,0.3242,-3.354,1
37333,11,34,NORIN2,2026-04-16,24.067,23.2638,0.2395,3.353,1
25413,8,36,ANCSA3,2025-09-15,91.0386,98.3129,2.1702,-3.352,1
41556,14,18,MERGR5,2026-07-22,501.9909,519.621,5.26,-3.352,1
13328,13,23,SILIN3,2025-01-27,97.2943,95.4828,0.5407,3.35,1
37112,9,4,AMBPL4,2026-04-15,104.5405,99.7274,1.438,3.347,1
28108,5,36,ANCSA3,2025-10-22,87.5216,90.8115,0.9829,-3.347,1
31754,13,9,CYBPA2,2026-01-08,280.9191,289.4213,2.5412,-3.346,1
38574,18,7,QUACA3,2026-05-08,575.5901,527.1486,14.4806,3.345,1
25938,9,38,NORSA2,2025-09-17,226.1901,217.6637,2.555,3.337,1
28750,13,33,RIDPL0,2025-11-04,39.0395,41.9185,0.8628,-3.337,1
18773,13,29,WAVIN1,2025-04-24,90.9909,94.9776,1.1958,-3.334,1
32879,9,5,WAVPL9,2026-01-28,67.6556,63.2515,1.3215,3.333,1
25305,5,4,AMBPL4,2025-09-12,79.1678,78.0342,0.3402,3.332,1
33841,20,8,SILCA5,2026-02-16,64.5922,65.6145,0.3068,-3.332,1
39356,7,9,CYBPA2,2026-05-19,265.3649,255.5395,2.9491,3.332,1
40914,10,40,ZENCA1,2026-06-29,183.3993,178.8125,1.3781,3.328,1
6179,8,39,PIOIN4,2024-10-01,159.5746,176.8708,5.1982,-3.327,1
28925,23,10,HARIN3,2025-11-06,365.7837,398.6523,9.8844,-3.325,1
19811,6,33,RIDPL0,2025-05-20,35.37,26.2142,2.7542,3.324,1
19222,22,3,BLUAG3,2025-05-06,193.4921,150.1356,13.0676,3.318,1
23182,19,31,NOVAG4,2025-07-25,111.9344,114.7685,0.8543,-3.317,1
21755,13,39,PIOIN4,2025-07-01,60.0255,61.296,0.3833,-3.315,1
41700,9,40,ZENCA1,2026-07-28,174.4406,180.8465,1.9344,-3.312,1
9817,7,22,ANCIN3,2024-11-29,184.4898,197.9666,4.0703,-3.311,1
25956,22,6,CYBIN4,2025-09-17,372.9028,366.2238,2.0178,3.31,1
2998,15,3,BLUAG3,2024-09-12,176.84,173.5418,0.9971,3.308,1
16372,19,18,MERGR5,2025-03-04,422.8326,403.9392,5.7145,3.306,1
30687,11,15,SILIN4,2025-12-17,323.3469,315.1582,2.4778,3.305,1
17525,18,15,SILIN4,2025-03-26,369.7372,357.2403,3.782,3.304,1
7834,1,26,MERIN1,2024-10-25,241.0822,217.8722,7.029,3.302,1
14703,9,32,DELIN7,2025-02-11,44.3469,41.6453,0.8186,3.3,1
31167,11,29,WAVIN1,2025-12-29,92.6549,90.858,0.5447,3.299,1
6115,5,16,BLUSA5,2024-09-30,62.7309,64.803,0.6289,-3.295,1
38058,18,1,AURHO3,2026-04-29,34.935,31.1452,1.1509,3.293,1
30413,9,14,WAVIN2,2025-12-10,554.5609,487.3273,20.4236,3.292,1
7231,7,26,MERIN1,2024-10-22,208.8564,219.2419,3.1582,-3.288,1
33340,2,33,RIDPL0,2026-02-05,28.0764,26.104,0.6006,3.284,1
6127,5,16,BLUSA5,2024-10-01,61.5235,64.6499,0.9526,-3.282,1
5941,18,21,VERCA7,2024-09-26,344.1071,352.2727,2.4901,-3.279,1
6798,10,21,VERCA7,2024-10-14,369.1124,349.2051,6.0709,3.279,1
11599,11,37,SILPL1,2025-01-09,16.7358,15.6038,0.3454,3.277,1
34366,8,2,QUACO1,2026-02-26,113.4092,107.5725,1.7827,3.274,1
39325,9,10,HARIN3,2026-05-19,124.3757,138.3083,4.2558,-3.274,1
14214,18,28,BLUTE2,2025-01-31,170.737,173.4682,0.8344,-3.273,1
5619,6,26,MERIN1,2024-09-19,230.1111,227.0346,0.9402,3.272,1
33421,14,34,NORIN2,2026-02-06,24.356,26.2174,0.5689,-3.272,1
1667,10,36,ANCSA3,2024-09-10,199.9894,204.4878,1.3751,-3.271,1
20347,4,29,WAVIN1,2025-06-03,90.0465,92.5461,0.7656,-3.265,1
29619,13,19,ORBTE0,2025-11-20,37.8602,50.1369,3.7608,-3.264,1
26554,13,34,NORIN2,2025-09-22,28.1195,29.2142,0.3354,-3.263,1
37750,4,3,BLUAG3,2026-04-22,210.9567,196.0095,4.5811,3.263,1
13851,9,21,VERCA7,2025-01-29,323.4694,330.7546,2.2337,-3.262,1
30363,10,6,CYBIN4,2025-12-09,508.1443,435.579,22.2519,3.261,1
28695,24,26,MERIN1,2025-11-03,904.807,791.9707,34.6052,3.261,1
24487,18,27,CEDCA1,2025-09-09,93.7696,92.2549,0.4646,3.26,1
37625,24,32,DELIN7,2026-04-20,58.7402,59.8612,0.3439,-3.26,1
41454,20,26,MERIN1,2026-07-17,674.7792,798.6201,38.0055,-3.259,1
23660,24,5,WAVPL9,2025-08-14,72.6923,61.9525,3.2962,3.258,1
28963,7,10,HARIN3,2025-11-07,332.8937,393.3389,18.5562,-3.257,1
26625,4,33,RIDPL0,2025-09-23,39.3256,38.1528,0.3602,3.256,1
39877,5,11,ORBAG4,2026-06-02,22.0996,19.5654,0.7785,3.255,1
41138,6,21,VERCA7,2026-07-07,320.841,307.5101,4.0954,3.255,1
8451,9,22,ANCIN3,2024-10-31,217.8503,230.6121,3.922,-3.254,1
31272,15,2,QUACO1,2025-12-31,104.8114,98.2078,2.0295,3.254,1
17746,23,23,SILIN3,2025-04-01,114.8814,111.2859,1.105,3.254,1
8813,24,33,RIDPL0,2024-11-08,41.5406,36.0708,1.6815,3.253,1
17406,10,26,MERIN1,2025-03-24,394.999,378.7992,4.9843,3.25,1
9335,13,28,BLUTE2,2024-11-20,156.6585,151.6637,1.5373,3.249,1
22368,23,21,VERCA7,2025-07-08,329.6739,324.1084,1.7149,3.245,1
27279,8,11,ORBAG4,2025-10-06,23.0819,25.3915,0.712,-3.244,1
5581,8,19,ORBTE0,2024-09-19,59.3894,54.359,1.5511,3.243,1
9871,9,24,CYBMA0,2024-12-02,85.2555,71.9181,4.1132,3.243,1
14129,8,39,PIOIN4,2025-01-30,67.2633,74.8611,2.3439,-3.241,1
13220,18,26,MERIN1,2025-01-24,364.9907,373.087,2.5002,-3.238,1
25929,9,26,MERIN1,2025-09-17,781.7876,764.7141,5.2741,3.237,1
27013,9,25,FALTE3,2025-09-30,71.9999,66.3809,1.7365,3.236,1
10961,6,18,MERGR5,2024-12-27,396.5989,336.4447,18.5909,3.236,1
8063,8,39,PIOIN4,2024-10-28,114.6049,112.7401,0.5765,3.235,1
38567,11,22,ANCIN3,2026-05-08,171.7844,195.2491,7.2545,-3.235,1
37087,2,17,AURIN2,2026-04-15,118.8345,116.6721,0.6687,3.234,1
8544,4,33,RIDPL0,2024-11-04,37.3636,34.9955,0.7325,3.233,1
15498,8,14,WAVIN2,2025-02-26,320.1454,299.9167,6.2609,3.231,1
18458,15,25,FALTE3,2025-04-16,57.971,62.4437,1.3846,-3.23,1
14234,3,28,BLUTE2,2025-01-31,169.3142,173.2187,1.209,-3.229,1
13079,10,22,ANCIN3,2025-01-24,225.4608,216.3339,2.8266,3.229,1
41049,23,9,CYBPA2,2026-07-02,284.6925,270.1387,4.5136,3.224,1
34585,10,20,ATLPA1,2026-03-03,85.2436,87.7127,0.7658,-3.224,1
33366,25,23,SILIN3,2026-02-05,156.3132,175.4905,5.9485,-3.224,1
14713,12,19,ORBTE0,2025-02-11,79.9213,70.0048,3.0761,3.224,1
27500,9,10,HARIN3,2025-10-09,421.939,396.1774,7.9935,3.223,1
14935,24,17,AURIN2,2025-02-14,108.6114,106.4161,0.6814,3.222,1
37551,8,24,CYBMA0,2026-04-17,197.5854,191.9565,1.7484,3.219,1
24536,8,15,SILIN4,2025-09-10,290.6511,268.8981,6.7582,3.219,1
33518,22,17,AURIN2,2026-02-10,115.4276,113.8074,0.5034,3.219,1
38128,21,1,AURHO3,2026-04-30,38.406,31.6958,2.0858,3.217,1
