trade_id,client_id,instrument_id,trade_date,side,raw_quantity,adjustment_factor,adjusted_quantity,running_adjusted_position
3802,1,3,2024-09-12,BUY,37.0,1.0,37.0,81.0
4960,1,3,2024-09-13,BUY,5.0,1.0,5.0,86.0
6387,1,3,2024-10-04,SELL,21.0,1.0,21.0,65.0
8491,1,3,2024-11-01,BUY,19.0,1.0,19.0,84.0
18036,1,3,2025-04-07,BUY,12.0,1.0,12.0,96.0
21796,1,3,2025-07-01,SELL,14.0,1.0,14.0,82.0
22436,1,3,2025-07-09,BUY,7.0,1.0,7.0,89.0
24814,1,3,2025-09-10,BUY,48.0,1.0,48.0,137.0
26335,1,3,2025-09-18,BUY,106.0,1.0,106.0,243.0
29723,1,3,2025-11-24,BUY,9.0,1.0,9.0,252.0
31324,1,3,2026-01-01,SELL,18.0,1.0,18.0,234.0
32392,1,3,2026-01-20,BUY,55.0,1.0,55.0,289.0
38439,1,3,2026-05-07,BUY,25.0,1.0,25.0,314.0
38748,1,3,2026-05-11,BUY,9.0,1.0,9.0,323.0
440,1,4,2024-08-21,BUY,51.0,1.0,51.0,51.0
730,1,4,2024-09-02,BUY,22.0,1.0,22.0,73.0
1337,1,4,2024-09-06,BUY,33.0,1.0,33.0,106.0
1625,1,4,2024-09-09,BUY,19.0,1.0,19.0,125.0
1972,1,4,2024-09-11,SELL,27.0,1.0,27.0,98.0
2146,1,4,2024-09-11,SELL,23.0,1.0,23.0,75.0
2208,1,4,2024-09-11,SELL,8.0,1.0,8.0,67.0
2992,1,4,2024-09-12,SELL,7.0,1.0,7.0,60.0
3980,1,4,2024-09-12,BUY,10.0,1.0,10.0,70.0
4325,1,4,2024-09-13,SELL,22.0,1.0,22.0,48.0
4349,1,4,2024-09-13,SELL,13.0,1.0,13.0,35.0
4734,1,4,2024-09-13,BUY,18.0,1.0,18.0,53.0
4944,1,4,2024-09-13,BUY,26.0,1.0,26.0,79.0
4961,1,4,2024-09-13,SELL,17.0,1.0,17.0,62.0
5981,1,4,2024-09-26,BUY,14.0,1.0,14.0,76.0
6279,1,4,2024-10-03,SELL,18.0,1.0,18.0,58.0
6623,1,4,2024-10-09,BUY,8.0,1.0,8.0,66.0
6735,1,4,2024-10-11,BUY,16.0,1.0,16.0,82.0
6955,1,4,2024-10-16,BUY,19.0,1.0,19.0,101.0
6981,1,4,2024-10-16,SELL,9.0,1.0,9.0,92.0
7629,1,4,2024-10-24,SELL,6.0,1.0,6.0,86.0
7760,1,4,2024-10-24,BUY,11.0,1.0,11.0,97.0
8219,1,4,2024-10-28,BUY,23.0,1.0,23.0,120.0
8551,1,4,2024-11-04,BUY,22.0,1.0,22.0,142.0
8626,1,4,2024-11-05,SELL,16.0,1.0,16.0,126.0
8792,1,4,2024-11-07,BUY,18.0,1.0,18.0,144.0
8928,1,4,2024-11-11,SELL,17.0,1.0,17.0,127.0
9505,1,4,2024-11-22,BUY,40.0,1.0,40.0,167.0
9813,1,4,2024-11-29,BUY,9.0,1.0,9.0,176.0
9976,1,4,2024-12-04,BUY,22.0,1.0,22.0,198.0
10030,1,4,2024-12-04,BUY,20.0,1.0,20.0,218.0
10291,1,4,2024-12-11,SELL,18.0,1.0,18.0,200.0
10574,1,4,2024-12-18,BUY,21.0,1.0,21.0,221.0
10679,1,4,2024-12-20,SELL,21.0,1.0,21.0,200.0
11098,1,4,2025-01-01,BUY,8.0,1.0,8.0,208.0
11134,1,4,2025-01-01,BUY,8.0,1.0,8.0,216.0
11442,1,4,2025-01-07,BUY,19.0,1.0,19.0,235.0
11465,1,4,2025-01-07,SELL,39.0,1.0,39.0,196.0
11566,1,4,2025-01-08,SELL,16.0,1.0,16.0,180.0
12061,1,4,2025-01-16,BUY,17.0,1.0,17.0,197.0
12654,1,4,2025-01-22,BUY,9.0,1.0,9.0,206.0
12925,1,4,2025-01-23,SELL,51.0,1.0,51.0,155.0
13780,1,4,2025-01-28,BUY,22.0,1.0,22.0,177.0
13840,1,4,2025-01-28,BUY,42.0,1.0,42.0,219.0
14351,1,4,2025-02-04,BUY,23.0,1.0,23.0,242.0
14355,1,4,2025-02-04,BUY,7.0,1.0,7.0,249.0
14546,1,4,2025-02-06,BUY,20.0,1.0,20.0,269.0
14629,1,4,2025-02-07,BUY,161.0,1.0,161.0,430.0
15462,1,4,2025-02-26,BUY,14.0,1.0,14.0,444.0
15589,1,4,2025-02-26,SELL,16.0,1.0,16.0,428.0
15683,1,4,2025-02-26,SELL,11.0,1.0,11.0,417.0
15862,1,4,2025-02-27,SELL,47.0,1.0,47.0,370.0
16128,1,4,2025-02-28,BUY,21.0,1.0,21.0,391.0
16804,1,4,2025-03-10,BUY,8.0,1.0,8.0,399.0
17162,1,4,2025-03-18,BUY,11.0,1.0,11.0,410.0
17936,1,4,2025-04-04,SELL,11.0,1.0,11.0,399.0
19322,1,4,2025-05-07,SELL,23.0,1.0,23.0,376.0
19425,1,4,2025-05-09,BUY,66.0,1.0,66.0,442.0
19713,1,4,2025-05-16,BUY,34.0,1.0,34.0,476.0
20498,1,4,2025-06-05,BUY,6.0,1.0,6.0,482.0
20512,1,4,2025-06-06,SELL,11.0,1.0,11.0,471.0
21119,1,4,2025-06-23,SELL,25.0,1.0,25.0,446.0
21346,1,4,2025-06-26,BUY,17.0,1.0,17.0,463.0
21553,1,4,2025-06-27,BUY,22.0,1.0,22.0,485.0
21780,1,4,2025-07-01,BUY,62.0,1.0,62.0,547.0
22140,1,4,2025-07-03,SELL,8.0,1.0,8.0,539.0
22144,1,4,2025-07-03,BUY,15.0,1.0,15.0,554.0
22356,1,4,2025-07-08,SELL,35.0,1.0,35.0,519.0
22986,1,4,2025-07-18,BUY,36.0,1.0,36.0,555.0
23317,1,4,2025-07-31,SELL,9.0,1.0,9.0,546.0
23666,1,4,2025-08-14,BUY,70.0,1.0,70.0,616.0
24067,1,4,2025-09-01,SELL,15.0,1.0,15.0,601.0
24074,1,4,2025-09-01,SELL,70.0,1.0,70.0,531.0
24209,1,4,2025-09-03,SELL,50.0,1.0,50.0,481.0
25346,1,4,2025-09-12,BUY,28.0,1.0,28.0,509.0
25398,1,4,2025-09-15,BUY,11.0,1.0,11.0,520.0
25460,1,4,2025-09-15,BUY,29.0,1.0,29.0,549.0
25607,1,4,2025-09-15,SELL,17.0,1.0,17.0,532.0
26353,1,4,2025-09-18,BUY,14.0,1.0,14.0,546.0
26477,1,4,2025-09-19,SELL,26.0,1.0,26.0,520.0
26858,1,4,2025-09-26,BUY,41.0,1.0,41.0,561.0
27068,1,4,2025-10-01,BUY,38.0,1.0,38.0,599.0
27075,1,4,2025-10-01,BUY,24.0,1.0,24.0,623.0
27230,1,4,2025-10-03,BUY,23.0,1.0,23.0,646.0
27338,1,4,2025-10-07,SELL,13.0,1.0,13.0,633.0
27942,1,4,2025-10-17,BUY,35.0,1.0,35.0,668.0
28003,1,4,2025-10-20,SELL,15.0,1.0,15.0,653.0
28126,1,4,2025-10-22,SELL,6.0,1.0,6.0,647.0
28460,1,4,2025-10-28,SELL,12.0,1.0,12.0,635.0
28900,1,4,2025-11-06,SELL,70.0,1.0,70.0,565.0
29034,1,4,2025-11-10,SELL,15.0,1.0,15.0,550.0
29343,1,4,2025-11-14,BUY,52.0,1.0,52.0,602.0
29944,1,4,2025-11-27,BUY,24.0,1.0,24.0,626.0
30187,1,4,2025-12-04,BUY,3.0,1.0,3.0,629.0
30292,1,4,2025-12-05,BUY,32.0,1.0,32.0,661.0
32019,1,4,2026-01-13,SELL,12.0,1.0,12.0,649.0
32707,1,4,2026-01-26,BUY,7.0,1.0,7.0,656.0
33010,1,4,2026-01-29,SELL,35.0,1.0,35.0,621.0
33946,1,4,2026-02-18,SELL,13.0,1.0,13.0,608.0
34016,1,4,2026-02-19,SELL,6.0,1.0,6.0,602.0
34203,1,4,2026-02-23,BUY,17.0,1.0,17.0,619.0
34363,1,4,2026-02-26,BUY,15.0,1.0,15.0,634.0
34645,1,4,2026-03-04,BUY,54.0,1.0,54.0,688.0
35430,1,4,2026-03-20,SELL,25.0,1.0,25.0,663.0
36429,1,4,2026-04-09,BUY,81.0,1.0,81.0,744.0
36982,1,4,2026-04-14,SELL,19.0,1.0,19.0,725.0
38151,1,4,2026-05-01,SELL,23.0,1.0,23.0,702.0
38374,1,4,2026-05-07,BUY,22.0,1.0,22.0,724.0
38419,1,4,2026-05-07,SELL,13.0,1.0,13.0,711.0
38575,1,4,2026-05-08,SELL,10.0,1.0,10.0,701.0
39251,1,4,2026-05-15,SELL,9.0,1.0,9.0,692.0
39703,1,4,2026-05-27,BUY,21.0,1.0,21.0,713.0
39993,1,4,2026-06-04,BUY,37.0,1.0,37.0,750.0
40494,1,4,2026-06-17,BUY,15.0,1.0,15.0,765.0
40686,1,4,2026-06-23,SELL,23.0,1.0,23.0,742.0
40987,1,4,2026-07-01,SELL,13.0,1.0,13.0,729.0
41058,1,4,2026-07-03,BUY,6.0,1.0,6.0,735.0
41503,1,4,2026-07-21,BUY,32.0,1.0,32.0,767.0
41651,1,4,2026-07-27,BUY,38.0,1.0,38.0,805.0
2421,1,5,2024-09-11,BUY,12.0,1.0,12.0,12.0
3916,1,5,2024-09-12,SELL,12.0,1.0,12.0,0.0
3943,1,5,2024-09-12,BUY,38.0,1.0,38.0,38.0
6728,1,5,2024-10-11,SELL,15.0,1.0,15.0,23.0
7073,1,5,2024-10-18,SELL,6.0,1.0,6.0,17.0
9348,1,5,2024-11-20,BUY,7.0,1.0,7.0,24.0
15684,1,5,2025-02-26,SELL,24.0,1.0,24.0,0.0
15884,1,5,2025-02-27,BUY,20.0,1.0,20.0,20.0
19644,1,5,2025-05-15,SELL,8.0,1.0,8.0,12.0
25045,1,5,2025-09-11,BUY,37.0,1.0,37.0,49.0
26338,1,5,2025-09-18,BUY,22.0,1.0,22.0,71.0
30131,1,5,2025-12-03,BUY,90.0,1.0,90.0,161.0
31570,1,5,2026-01-06,BUY,8.0,1.0,8.0,169.0
32661,1,5,2026-01-23,BUY,69.0,1.0,69.0,238.0
34568,1,5,2026-03-03,SELL,16.0,1.0,16.0,222.0
37306,1,5,2026-04-15,SELL,103.0,1.0,103.0,119.0
1020,1,6,2024-09-05,BUY,12.0,1.0,12.0,12.0
2135,1,6,2024-09-11,SELL,11.0,1.0,11.0,1.0
5002,1,6,2024-09-16,BUY,16.0,1.0,16.0,17.0
7603,1,6,2024-10-24,SELL,17.0,1.0,17.0,0.0
7658,1,6,2024-10-24,BUY,20.0,1.0,20.0,20.0
13357,1,6,2025-01-27,SELL,20.0,1.0,20.0,0.0
16785,1,6,2025-03-10,BUY,20.0,1.0,20.0,20.0
18645,1,6,2025-04-22,SELL,20.0,1.0,20.0,0.0
18801,1,6,2025-04-24,BUY,8.0,1.0,8.0,8.0
22971,1,6,2025-07-17,SELL,8.0,1.0,8.0,0.0
23395,1,6,2025-08-04,BUY,38.0,1.0,38.0,38.0
30518,1,6,2025-12-11,BUY,15.0,1.0,15.0,53.0
39067,1,6,2026-05-12,BUY,8.0,1.0,8.0,61.0
41118,1,6,2026-07-06,SELL,11.0,1.0,11.0,50.0
2444,1,7,2024-09-11,BUY,26.0,1.0,26.0,26.0
8297,1,7,2024-10-29,BUY,20.0,1.0,20.0,46.0
9829,1,7,2024-11-29,BUY,9.0,1.0,9.0,55.0
10081,1,7,2024-12-05,BUY,9.0,1.0,9.0,64.0
10808,1,7,2024-12-24,SELL,10.0,1.0,10.0,54.0
12202,1,7,2025-01-20,BUY,24.0,1.0,24.0,78.0
12219,1,7,2025-01-20,SELL,16.0,1.0,16.0,62.0
19568,1,7,2025-05-14,BUY,5.0,1.0,5.0,67.0
20466,1,7,2025-06-05,SELL,32.0,1.0,32.0,35.0
20490,1,7,2025-06-05,SELL,27.0,1.0,27.0,8.0
27772,1,7,2025-10-15,BUY,14.0,1.0,14.0,22.0
30825,1,7,2025-12-19,SELL,22.0,1.0,22.0,0.0
4062,1,8,2024-09-13,BUY,24.0,1.0,24.0,24.0
6952,1,8,2024-10-16,BUY,37.0,1.0,37.0,61.0
7847,1,8,2024-10-25,SELL,36.0,1.0,36.0,25.0
13134,1,8,2025-01-24,BUY,24.0,1.0,24.0,49.0
14986,1,8,2025-02-17,BUY,26.0,1.0,26.0,75.0
15159,1,8,2025-02-19,SELL,18.0,1.0,18.0,57.0
16542,1,8,2025-03-04,SELL,22.0,1.0,22.0,35.0
20456,1,8,2025-06-05,BUY,12.0,1.0,12.0,47.0
34062,1,8,2026-02-19,BUY,21.0,1.0,21.0,68.0
3747,1,9,2024-09-12,BUY,16.0,1.0,16.0,16.0
6062,1,9,2024-09-30,BUY,12.0,1.0,12.0,28.0
6063,1,9,2024-09-30,SELL,13.0,1.0,13.0,15.0
7321,1,9,2024-10-23,BUY,40.0,1.0,40.0,55.0
9923,1,9,2024-12-03,BUY,19.0,1.0,19.0,74.0
14009,1,9,2025-01-29,BUY,23.0,1.0,23.0,97.0
14619,1,9,2025-02-07,SELL,58.0,1.0,58.0,39.0
17728,1,9,2025-03-31,SELL,25.0,1.0,25.0,14.0
18970,1,9,2025-04-29,SELL,9.0,1.0,9.0,5.0
25353,1,9,2025-09-12,BUY,17.0,1.0,17.0,22.0
30243,1,9,2025-12-05,SELL,4.0,1.0,4.0,18.0
33726,1,9,2026-02-12,BUY,15.0,1.0,15.0,33.0
36441,1,9,2026-04-09,SELL,30.0,1.0,30.0,3.0
36462,1,9,2026-04-10,SELL,3.0,1.0,3.0,0.0
39512,1,9,2026-05-22,BUY,40.0,1.0,40.0,40.0
91,1,10,2024-08-07,BUY,19.0,1.0,19.0,19.0
478,1,10,2024-08-22,SELL,19.0,1.0,19.0,0.0
1596,1,10,2024-09-09,BUY,23.0,1.0,23.0,23.0
2377,1,10,2024-09-11,SELL,23.0,1.0,23.0,0.0
3271,1,10,2024-09-12,BUY,14.0,1.0,14.0,14.0
5071,1,10,2024-09-16,BUY,19.0,1.0,19.0,33.0
5453,1,10,2024-09-17,BUY,29.0,1.0,29.0,62.0
6323,1,10,2024-10-03,BUY,28.0,1.0,28.0,90.0
14585,1,10,2025-02-07,BUY,128.0,1.0,128.0,218.0
15100,1,10,2025-02-18,BUY,23.0,1.0,23.0,241.0
17047,1,10,2025-03-14,SELL,10.0,1.0,10.0,231.0
18723,1,10,2025-04-23,BUY,31.0,1.0,31.0,262.0
21994,1,10,2025-07-02,SELL,31.0,1.0,31.0,231.0
22045,1,10,2025-07-03,SELL,16.0,1.0,16.0,215.0
22515,1,10,2025-07-09,SELL,9.0,1.0,9.0,206.0
28341,1,10,2025-10-27,BUY,19.0,1.0,19.0,225.0
31105,1,10,2025-12-26,SELL,38.0,1.0,38.0,187.0
34267,1,10,2026-02-24,BUY,30.0,1.0,30.0,217.0
35284,1,10,2026-03-18,BUY,6.0,1.0,6.0,223.0
38826,1,10,2026-05-11,SELL,38.0,1.0,38.0,185.0
39546,1,10,2026-05-22,SELL,32.0,1.0,32.0,153.0
41743,1,10,2026-07-29,BUY,13.0,1.0,13.0,166.0
290,1,11,2024-08-15,BUY,6.0,1.0,6.0,6.0
1173,1,11,2024-09-06,BUY,3.0,1.0,3.0,9.0
4190,1,11,2024-09-13,BUY,37.0,1.0,37.0,46.0
4246,1,11,2024-09-13,SELL,5.0,1.0,5.0,41.0
6490,1,11,2024-10-08,SELL,35.0,1.0,35.0,6.0
7536,1,11,2024-10-23,BUY,24.0,1.0,24.0,30.0
9921,1,11,2024-12-03,SELL,24.0,1.0,24.0,6.0
19812,1,11,2025-05-20,SELL,6.0,1.0,6.0,0.0
23615,1,11,2025-08-13,BUY,32.0,1.0,32.0,32.0
24118,1,11,2025-09-02,BUY,17.0,1.0,17.0,49.0
26657,1,11,2025-09-23,SELL,25.0,1.0,25.0,24.0
28048,1,11,2025-10-21,BUY,40.0,1.0,40.0,64.0
28889,1,11,2025-11-05,SELL,51.0,1.0,51.0,13.0
30242,1,11,2025-12-04,BUY,7.0,1.0,7.0,20.0
36337,1,11,2026-04-09,SELL,19.0,1.0,19.0,1.0
39665,1,11,2026-05-27,BUY,35.0,1.0,35.0,36.0
40965,1,11,2026-06-30,BUY,19.0,1.0,19.0,55.0
5516,1,12,2024-09-18,BUY,34.0,1.0,34.0,34.0
8909,1,12,2024-11-11,BUY,104.0,1.0,104.0,138.0
10900,1,12,2024-12-26,BUY,12.0,1.0,12.0,150.0
19207,1,12,2025-05-05,SELL,27.0,1.0,27.0,123.0
20160,1,12,2025-05-28,BUY,33.0,1.0,33.0,156.0
23171,1,12,2025-07-25,BUY,26.0,1.0,26.0,182.0
23240,1,12,2025-07-29,SELL,40.0,1.0,40.0,142.0
23365,1,12,2025-08-01,SELL,57.0,1.0,57.0,85.0
23888,1,12,2025-08-25,BUY,21.0,1.0,21.0,106.0
24833,1,12,2025-09-11,SELL,22.0,1.0,22.0,84.0
27486,1,12,2025-10-09,BUY,137.0,1.0,137.0,221.0
30950,1,12,2025-12-23,BUY,150.0,1.0,150.0,371.0
32583,1,12,2026-01-22,BUY,14.0,1.0,14.0,385.0
35685,1,12,2026-03-27,SELL,16.0,1.0,16.0,369.0
36835,1,12,2026-04-13,BUY,28.0,1.0,28.0,397.0
37567,1,12,2026-04-17,BUY,21.0,1.0,21.0,418.0
38480,1,12,2026-05-07,BUY,23.0,1.0,23.0,441.0
872,1,13,2024-09-04,BUY,11.0,1.0,11.0,11.0
9835,1,13,2024-11-29,BUY,9.0,1.0,9.0,20.0
11205,1,13,2025-01-02,BUY,5.0,1.0,5.0,25.0
17546,1,13,2025-03-26,SELL,25.0,1.0,25.0,0.0
21361,1,13,2025-06-26,BUY,29.0,1.0,29.0,29.0
24879,1,13,2025-09-11,SELL,26.0,1.0,26.0,3.0
35179,1,13,2026-03-17,SELL,3.0,1.0,3.0,0.0
35330,1,13,2026-03-19,BUY,15.0,1.0,15.0,15.0
40185,1,13,2026-06-09,BUY,13.0,1.0,13.0,28.0
441,1,14,2024-08-21,BUY,8.0,1.0,8.0,8.0
834,1,14,2024-09-04,BUY,11.0,1.0,11.0,19.0
1389,1,14,2024-09-06,SELL,19.0,1.0,19.0,0.0
1629,1,14,2024-09-09,BUY,69.0,1.0,69.0,69.0
1752,1,14,2024-09-10,SELL,20.0,1.0,20.0,49.0
1802,1,14,2024-09-10,SELL,47.0,1.0,47.0,2.0
2246,1,14,2024-09-11,BUY,13.0,1.0,13.0,15.0
3273,1,14,2024-09-12,BUY,53.0,1.0,53.0,68.0
3645,1,14,2024-09-12,BUY,10.0,1.0,10.0,78.0
3891,1,14,2024-09-12,SELL,23.0,1.0,23.0,55.0
3954,1,14,2024-09-12,SELL,22.0,1.0,22.0,33.0
4490,1,14,2024-09-13,SELL,33.0,1.0,33.0,0.0
4941,1,14,2024-09-13,BUY,36.0,1.0,36.0,36.0
5218,1,14,2024-09-16,BUY,23.0,1.0,23.0,59.0
5634,1,14,2024-09-19,BUY,20.0,1.0,20.0,79.0
6040,1,14,2024-09-27,BUY,9.0,1.0,9.0,88.0
6129,1,14,2024-10-01,BUY,12.0,1.0,12.0,100.0
6277,1,14,2024-10-03,SELL,11.0,1.0,11.0,89.0
6467,1,14,2024-10-07,SELL,19.0,1.0,19.0,70.0
7459,1,14,2024-10-23,BUY,112.0,1.0,112.0,182.0
7742,1,14,2024-10-24,SELL,21.0,1.0,21.0,161.0
7888,1,14,2024-10-25,BUY,23.0,1.0,23.0,184.0
7914,1,14,2024-10-25,BUY,6.0,1.0,6.0,190.0
8013,1,14,2024-10-25,SELL,12.0,1.0,12.0,178.0
8375,1,14,2024-10-30,BUY,76.0,1.0,76.0,254.0
8411,1,14,2024-10-31,BUY,31.0,1.0,31.0,285.0
8984,1,14,2024-11-12,BUY,61.0,1.0,61.0,346.0
9129,1,14,2024-11-14,BUY,12.0,1.0,12.0,358.0
9278,1,14,2024-11-19,BUY,43.0,1.0,43.0,401.0
10298,1,14,2024-12-11,BUY,20.0,1.0,20.0,421.0
11189,1,14,2025-01-02,BUY,14.0,1.0,14.0,435.0
11466,1,14,2025-01-07,SELL,20.0,1.0,20.0,415.0
12631,1,14,2025-01-22,BUY,11.0,1.0,11.0,426.0
12651,1,14,2025-01-22,BUY,28.0,1.0,28.0,454.0
13060,1,14,2025-01-23,BUY,28.0,1.0,28.0,482.0
13471,1,14,2025-01-27,BUY,11.0,1.0,11.0,493.0
13655,1,14,2025-01-28,BUY,48.0,1.0,48.0,541.0
14427,1,14,2025-02-05,BUY,33.0,1.0,33.0,574.0
14756,1,14,2025-02-11,BUY,22.0,1.0,22.0,596.0
14777,1,14,2025-02-12,SELL,17.0,1.0,17.0,579.0
15187,1,14,2025-02-20,BUY,25.0,1.0,25.0,604.0
16885,1,14,2025-03-12,SELL,36.0,1.0,36.0,568.0
17646,1,14,2025-03-28,SELL,22.0,1.0,22.0,546.0
18062,1,14,2025-04-08,SELL,16.0,1.0,16.0,530.0
18669,1,14,2025-04-22,SELL,16.0,1.0,16.0,514.0
18784,1,14,2025-04-24,BUY,12.0,1.0,12.0,526.0
19394,1,14,2025-05-08,SELL,9.0,1.0,9.0,517.0
19652,1,14,2025-05-15,BUY,19.0,1.0,19.0,536.0
20171,1,14,2025-05-28,SELL,7.0,1.0,7.0,529.0
20289,1,14,2025-05-30,BUY,15.0,1.0,15.0,544.0
20724,1,14,2025-06-12,BUY,9.0,1.0,9.0,553.0
20770,1,14,2025-06-13,SELL,12.0,1.0,12.0,541.0
20819,1,14,2025-06-16,SELL,54.0,1.0,54.0,487.0
20826,1,14,2025-06-16,SELL,18.0,1.0,18.0,469.0
20941,1,14,2025-06-18,BUY,40.0,1.0,40.0,509.0
22288,1,14,2025-07-07,BUY,10.0,1.0,10.0,519.0
22330,1,14,2025-07-08,SELL,21.0,1.0,21.0,498.0
22447,1,14,2025-07-09,BUY,29.0,1.0,29.0,527.0
22621,1,14,2025-07-10,BUY,23.0,1.0,23.0,550.0
22887,1,14,2025-07-15,BUY,26.0,1.0,26.0,576.0
22974,1,14,2025-07-18,BUY,11.0,1.0,11.0,587.0
23271,1,14,2025-07-30,SELL,21.0,1.0,21.0,566.0
23382,1,14,2025-08-04,BUY,40.0,1.0,40.0,606.0
23454,1,14,2025-08-06,BUY,22.0,1.0,22.0,628.0
23487,1,14,2025-08-07,BUY,4.0,1.0,4.0,632.0
23569,1,14,2025-08-11,BUY,24.0,1.0,24.0,656.0
23573,1,14,2025-08-11,BUY,31.0,1.0,31.0,687.0
23621,1,14,2025-08-13,SELL,36.0,1.0,36.0,651.0
23989,1,14,2025-08-28,SELL,31.0,1.0,31.0,620.0
24052,1,14,2025-08-29,BUY,135.0,1.0,135.0,755.0
24759,1,14,2025-09-10,BUY,44.0,1.0,44.0,799.0
25322,1,14,2025-09-12,BUY,33.0,1.0,33.0,832.0
25371,1,14,2025-09-15,BUY,26.0,1.0,26.0,858.0
26569,1,14,2025-09-22,SELL,22.0,1.0,22.0,836.0
26579,1,14,2025-09-22,BUY,14.0,1.0,14.0,850.0
26972,1,14,2025-09-30,SELL,16.0,1.0,16.0,834.0
27006,1,14,2025-09-30,BUY,38.0,1.0,38.0,872.0
27087,1,14,2025-10-01,BUY,10.0,1.0,10.0,882.0
27185,1,14,2025-10-03,BUY,32.0,1.0,32.0,914.0
27613,1,14,2025-10-13,BUY,70.0,1.0,70.0,984.0
27758,1,14,2025-10-15,SELL,74.0,1.0,74.0,910.0
27795,1,14,2025-10-15,BUY,6.0,1.0,6.0,916.0
27855,1,14,2025-10-16,SELL,17.0,1.0,17.0,899.0
27876,1,14,2025-10-16,BUY,12.0,1.0,12.0,911.0
28111,1,14,2025-10-22,BUY,12.0,1.0,12.0,923.0
28206,1,14,2025-10-23,SELL,58.0,1.0,58.0,865.0
28411,1,14,2025-10-28,SELL,6.0,1.0,6.0,859.0
29383,1,14,2025-11-17,SELL,15.0,1.0,15.0,844.0
29605,1,14,2025-11-20,BUY,98.0,1.0,98.0,942.0
29782,1,14,2025-11-25,SELL,14.0,1.0,14.0,928.0
30148,1,14,2025-12-03,SELL,22.0,1.0,22.0,906.0
31271,1,14,2025-12-31,BUY,22.0,1.0,22.0,928.0
32175,1,14,2026-01-15,BUY,15.0,1.0,15.0,943.0
32385,1,14,2026-01-20,SELL,13.0,1.0,13.0,930.0
32852,1,14,2026-01-27,BUY,16.0,1.0,16.0,946.0
33043,1,14,2026-01-30,BUY,12.0,1.0,12.0,958.0
33305,1,14,2026-02-04,BUY,21.0,1.0,21.0,979.0
33474,1,14,2026-02-09,BUY,12.0,1.0,12.0,991.0
33528,1,14,2026-02-10,SELL,11.0,1.0,11.0,980.0
33660,1,14,2026-02-11,BUY,12.0,1.0,12.0,992.0
33963,1,14,2026-02-18,BUY,22.0,1.0,22.0,1014.0
34108,1,14,2026-02-20,BUY,9.0,1.0,9.0,1023.0
34293,1,14,2026-02-25,SELL,18.0,1.0,18.0,1005.0
35666,1,14,2026-03-26,BUY,17.0,1.0,17.0,1022.0
36082,1,14,2026-04-06,BUY,29.0,1.0,29.0,1051.0
36935,1,14,2026-04-14,BUY,21.0,1.0,21.0,1072.0
37281,1,14,2026-04-15,BUY,48.0,1.0,48.0,1120.0
37357,1,14,2026-04-16,SELL,14.0,1.0,14.0,1106.0
37569,1,14,2026-04-17,BUY,6.0,1.0,6.0,1112.0
37690,1,14,2026-04-21,SELL,23.0,1.0,23.0,1089.0
37929,1,14,2026-04-27,BUY,10.0,1.0,10.0,1099.0
